Rk,G,Date,Age,Tm,HOME,OPP,TOV,DRB,ORB,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,PF,PTS,GmSc,+/-,WIN
69,63,2021-05-11,22-072,DAL,1,MEM,5,4,1,1,25:30,4,16,0.25,0,4,0.0,4,4,1.0,5,5,0,0,1,12,2.4,-23,0
70,64,2021-05-12,22-073,DAL,0,NOP,4,7,1,1,31:16,12,24,0.5,7,15,0.467,2,2,1.0,8,8,0,0,1,33,25.0,24,1
71,65,2021-05-14,22-075,DAL,0,TOR,1,9,1,1,34:13,7,19,0.368,1,8,0.125,5,5,1.0,10,11,0,1,4,20,18.7,-5,1
72,66,2021-05-16,22-077,DAL,1,MIN,4,6,0,1,20:44,6,13,0.462,2,7,0.286,4,5,0.8,6,6,2,0,1,18,14.5,-15,0
1,1,2021-10-21,22-235,DAL,1,ATL,5,11,0,1,35:24,6,17,0.353,2,7,0.286,4,4,1.0,11,7,1,0,1,18,12.3,-24,0
2,2,2021-10-23,22-237,DAL,1,TOR,5,9,0,1,38:53,11,24,0.458,2,10,0.2,3,5,0.6,9,12,0,1,3,27,19.4,1,1
3,3,2021-10-26,22-240,DAL,0,HOU,4,12,2,1,34:16,10,25,0.4,1,6,0.167,5,5,1.0,14,7,2,1,3,26,19.9,15,1
4,4,2021-10-28,22-242,DAL,0,SAS,7,3,0,1,34:20,11,19,0.579,3,8,0.375,0,3,0.0,3,5,0,1,3,25,11.8,-19,1
5,5,2021-10-29,22-243,DAL,1,DEN,2,6,0,1,26:25,5,18,0.278,1,4,0.25,5,5,1.0,6,4,2,0,1,16,9.6,-32,0
6,6,2021-10-31,22-245,DAL,0,SAC,3,8,0,1,35:12,10,21,0.476,1,7,0.143,2,6,0.333,8,10,1,1,3,23,17.6,5,1
7,7,2021-11-02,22-247,DAL,0,MIA,3,1,2,1,35:33,10,24,0.417,3,9,0.333,10,12,0.833,3,5,0,0,2,33,20.8,-13,0
8,8,2021-11-03,22-248,DAL,1,SAS,4,12,0,1,36:11,10,25,0.4,3,12,0.25,0,2,0.0,12,7,2,0,1,23,14.8,-17,1
9,9,2021-11-06,22-251,DAL,0,BOS,6,8,1,1,35:04,12,21,0.571,5,10,0.5,4,4,1.0,9,5,0,1,4,33,22.8,10,1
10,10,2021-11-08,22-253,DAL,0,NOP,5,3,2,1,33:16,10,21,0.476,2,5,0.4,3,5,0.6,5,5,1,1,3,25,14.8,-2,1
11,11,2021-11-10,22-255,DAL,1,CHI,4,7,1,1,33:25,6,18,0.333,1,6,0.167,7,10,0.7,8,10,4,1,0,20,19.1,-20,0
12,12,2021-11-12,22-257,DAL,1,SAS,2,12,0,1,36:26,11,23,0.478,6,13,0.462,4,8,0.5,12,15,2,0,2,32,32.0,6,1
13,13,2021-11-15,22-260,DAL,0,DEN,4,7,1,1,37:33,9,23,0.391,2,7,0.286,3,5,0.6,8,11,2,1,3,23,17.7,4,1
17,14,2021-11-23,22-268,DAL,1,LAC,6,8,1,1,41:09,9,21,0.429,4,11,0.364,4,4,1.0,9,9,1,2,4,26,19.1,7,1
18,15,2021-11-27,22-272,DAL,0,WAS,4,4,0,1,36:47,13,25,0.52,3,9,0.333,4,7,0.571,4,10,0,0,3,33,22.5,-11,0
19,16,2021-11-29,22-274,DAL,0,CLE,4,8,2,1,33:10,9,21,0.429,7,11,0.636,0,4,0.0,10,10,1,0,2,25,19.3,-20,0
20,17,2021-12-01,22-276,DAL,1,NOP,8,3,1,1,27:27,11,16,0.688,2,5,0.4,4,4,1.0,4,14,1,0,1,28,25.2,29,1
21,18,2021-12-03,22-278,DAL,0,NOP,7,9,1,1,34:51,7,20,0.35,0,6,0.0,7,9,0.778,10,7,0,0,4,21,8.7,-10,0
23,19,2021-12-07,22-282,DAL,0,BRK,1,5,1,1,36:33,9,21,0.429,3,11,0.273,7,8,0.875,6,9,0,0,5,28,22.0,-2,0
24,20,2021-12-08,22-283,DAL,1,MEM,9,8,0,1,35:55,10,19,0.526,5,10,0.5,1,2,0.5,8,7,1,0,1,26,15.2,18,1
25,21,2021-12-10,22-285,DAL,1,IND,3,7,2,1,36:53,11,25,0.44,1,8,0.125,4,4,1.0,9,9,1,1,4,27,20.8,-9,0
36,22,2022-01-02,22-308,DAL,1,OKC,7,9,0,1,31:27,6,14,0.429,2,6,0.333,0,0,,9,10,1,0,1,14,9.9,-4,1
37,23,2022-01-03,22-309,DAL,0,DEN,3,8,0,1,33:55,7,18,0.389,1,6,0.167,6,8,0.75,8,15,4,0,5,21,22.3,25,1
38,24,2022-01-05,22-311,DAL,0,GSW,6,7,0,1,34:14,7,18,0.389,2,8,0.25,10,12,0.833,7,8,2,0,1,26,18.7,2,1
40,25,2022-01-09,22-315,DAL,0,CHI,4,14,0,1,35:24,8,23,0.348,2,6,0.333,4,4,1.0,14,14,0,0,1,22,18.7,26,1
41,26,2022-01-12,22-318,DAL,1,NYK,6,10,1,1,36:20,8,23,0.348,1,9,0.111,4,6,0.667,11,5,2,0,2,21,9.7,-24,0
42,27,2022-01-14,22-320,DAL,1,MEM,6,12,1,1,31:45,12,22,0.545,0,6,0.0,3,4,0.75,13,10,0,0,2,27,20.5,12,1
43,28,2022-01-15,22-321,DAL,0,ORL,1,8,1,1,31:23,7,19,0.368,1,6,0.167,8,9,0.889,9,3,0,0,3,23,15.1,20,1
44,29,2022-01-17,22-323,DAL,0,OKC,2,9,2,1,38:40,4,17,0.235,0,6,0.0,12,14,0.857,11,12,3,3,2,20,23.7,12,1
45,30,2022-01-19,22-325,DAL,0,TOR,4,12,2,1,42:16,13,24,0.542,4,10,0.4,11,12,0.917,14,7,1,0,2,41,35.1,7,1
46,31,2022-01-20,22-326,DAL,0,PHO,8,7,1,1,38:08,9,23,0.391,2,9,0.222,8,11,0.727,8,8,1,0,1,28,15.3,-7,0
