Rk,G,Date,Age,Tm,HOME,OPP,TOV,DRB,R,ORB,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,PF,PTS,GmSc,+/-
53,45,2024-02-10,24-347,DAL,,OKC,3,8,W (+35),0,1,31:18,9,14,.643,4,8,.500,10,13,.769,8,9,0,0,3,32,29.1,+18
54,46,2024-02-12,24-349,DAL,,WAS,5,10,W (+8),1,1,37:17,8,16,.500,2,7,.286,8,11,.727,11,15,1,2,3,26,27.2,+19
55,47,2024-02-14,24-351,DAL,,SAS,5,9,W (+23),0,1,31:19,11,20,.550,1,8,.125,4,4,1.000,9,8,2,1,2,27,22.6,+25
56,48,2024-02-22,24-359,DAL,,PHO,3,9,W (+10),0,1,38:03,14,27,.519,6,11,.545,7,7,1.000,9,11,3,0,4,41,36.5,+9
57,49,2024-02-25,24-362,DAL,@,IND,3,5,L (-22),1,1,33:06,10,21,.476,4,8,.500,9,12,.750,6,6,1,2,4,33,25.3,-13
58,50,2024-02-27,24-364,DAL,@,CLE,1,9,L (-2),0,1,41:16,17,29,.586,6,11,.545,5,5,1.000,9,14,3,0,1,45,45.6,+13
59,51,2024-02-28,25-000,DAL,@,TOR,5,11,W (+11),1,1,35:37,11,23,.478,1,8,.125,7,9,.778,12,16,2,0,3,30,28.5,+11
60,52,2024-03-01,25-002,DAL,@,BOS,2,9,L (-28),3,1,36:33,14,25,.560,3,9,.333,6,8,.750,12,11,0,0,3,37,33.6,-20
61,53,2024-03-03,25-004,DAL,,PHI,7,9,L (-4),2,1,40:17,14,27,.519,4,10,.400,6,6,1.000,11,10,1,0,2,38,29.0,+9
62,54,2024-03-05,25-006,DAL,,IND,5,10,L (-17),0,1,42:48,15,30,.500,4,13,.308,5,6,.833,10,11,0,0,4,39,27.7,-18
63,55,2024-03-07,25-008,DAL,,MIA,4,11,W (+6),0,1,39:33,12,24,.500,7,13,.538,4,4,1.000,11,11,1,0,2,35,30.2,+11
64,56,2024-03-09,25-010,DAL,@,DET,6,10,W (+18),0,1,36:38,13,24,.542,4,13,.308,9,10,.900,10,10,3,2,1,39,35.0,+13
65,57,2024-03-11,25-012,DAL,@,CHI,2,10,W (+35),2,1,33:37,9,23,.391,6,15,.400,3,4,.750,12,14,1,0,2,27,26.5,+34
