3P,3P%,TRB,AST,PTS,GmSc,WIN
3,0.273,6,4,31,21.4,0
5,0.455,14,6,30,23.9,1
4,0.4,8,8,26,24.0,1
5,0.417,9,9,37,31.3,1
2,0.2,7,10,17,7.6,0
8,0.667,4,3,37,25.9,0
3,0.273,6,10,15,4.5,1
5,0.455,10,8,24,20.4,0
4,0.571,10,5,32,23.2,1
4,0.333,12,12,34,35.1,1
3,0.5,9,13,35,33.2,1
4,0.444,7,6,36,25.8,0
3,0.333,8,15,32,28.1,1
2,0.182,8,14,26,18.5,1
7,0.5,11,7,39,31.8,1
2,0.4,8,9,26,24.0,1
2,0.2,9,6,35,25.6,0
4,0.444,7,10,32,29.8,1
2,0.154,11,7,37,29.5,0
2,0.333,11,14,41,36.9,1
0,0.0,16,10,31,24.7,0
2,0.222,3,5,44,34.4,1
2,0.333,5,11,33,27.6,1
3,0.5,8,6,35,32.8,1
5,0.556,6,6,36,25.5,1
2,0.182,6,6,24,15.3,0
3,0.375,9,6,22,11.2,0
1,0.2,13,10,42,42.2,1
2,0.4,11,5,35,30.4,1
2,0.286,12,11,33,31.5,1
2,0.25,9,8,22,16.5,0
3,0.375,8,9,42,30.1,0
2,0.5,7,9,24,21.8,0
3,0.429,5,12,27,18.1,0
4,0.444,12,12,41,36.6,1
7,0.5,5,10,35,28.4,0
4,0.444,8,7,30,24.3,1
4,0.444,6,8,33,29.0,1
4,0.444,10,12,22,18.0,1
3,0.273,6,11,33,26.3,0
3,0.3,11,8,38,27.6,1
2,0.25,5,6,30,18.7,0
5,0.556,6,9,33,27.3,1
3,0.375,6,7,19,12.0,0
1,0.2,9,10,25,25.3,1
6,0.5,8,10,50,39.2,1
2,0.667,9,9,32,30.0,1
2,0.333,21,10,60,56.3,1
4,0.444,12,13,35,36.6,1
6,0.6,6,9,51,47.5,1
1,0.111,12,8,39,29.4,1
0,0.0,9,3,23,8.1,0
3,0.5,10,10,34,22.4,1
3,0.333,11,7,43,36.8,0
4,0.444,14,13,35,28.2,1
0,0.0,6,10,15,11.2,0
2,0.25,4,8,30,18.1,0
5,0.625,12,7,34,27.7,1
3,0.429,10,4,29,18.7,0
0,0.0,15,6,41,31.4,0
0,0.0,1,0,0,-1.1,1
5,0.455,8,5,53,44.5,1
2,0.286,8,4,31,23.7,1
2,0.222,9,5,27,17.2,0
2,0.286,12,6,33,25.4,0
3,0.375,4,9,37,35.1,0
1,0.167,7,10,28,31.1,1
4,0.5,9,5,26,13.8,0
3,0.333,8,6,39,30.0,0
7,0.538,4,12,42,36.2,1
1,0.111,9,4,34,19.2,0
4,0.364,10,6,29,19.2,1
1,0.2,3,8,15,12.5,0
2,0.2,7,17,30,23.1,0
2,0.222,10,8,34,26.2,0
7,0.438,12,8,40,32.3,0
4,0.4,7,6,25,24.4,1
4,0.444,10,8,24,18.1,0
2,0.333,10,8,42,36.9,0
3,0.25,7,7,22,12.0,0
3,0.273,10,6,29,24.9,1
0,0.0,5,3,13,9.3,0
3,0.273,13,10,33,28.4,1
9,0.643,10,7,49,45.0,1
6,0.5,12,12,35,28.9,1
